gender_code,attendance_percentage,assignment_completion,current_cgpa,previous_cgpa,average_internal_marks,average_total_marks,subjects_enrolled,subjects_evaluated,subjects_passed,subjects_credited,age_at_enrollment,debtor,tuition_fees_up_to_date,scholarship_holder,educational_special_needs,international,course_code,daytime_attendance,displaced,unemployment_rate,inflation_rate,gdp,next_sem_cgpa_target
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,10.8,1.4,1.74,0.0
1.0,100.0,1.0,7.0,7.0,70.0,70.0,6,6,6,0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,13.9,-0.3,0.79,6.83
1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,10.8,1.4,1.74,0.0
0.0,100.0,1.0,6.71,6.71,67.14,67.14,6,8,6,0,20.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,9.4,-0.8,-3.12,6.2
0.0,92.5,1.0,6.17,6.17,61.67,61.67,6,9,5,0,45.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,13.9,-0.3,0.79,6.5
1.0,100.0,1.0,5.93,5.93,59.29,59.29,5,10,5,0,50.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,16.2,0.3,-0.92,5.75
0.0,100.0,1.0,6.65,6.65,66.5,66.5,7,9,7,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,7.17
1.0,55.0,1.0,0.0,0.0,0.0,0.0,5,5,0,0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,15.5,2.8,-4.06,0.0
0.0,100.0,1.0,6.94,6.94,69.38,69.38,6,8,6,0,21.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,16.2,0.3,-0.92,7.07
0.0,92.5,1.0,5.7,5.7,57.0,57.0,6,9,5,0,18.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,8.9,1.4,3.51,6.75
0.0,100.0,1.0,6.17,6.17,61.67,61.67,6,6,6,0,18.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,13.9,-0.3,0.79,7.1
0.0,94.38,1.0,6.61,6.61,66.07,66.07,8,8,7,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,12.7,3.7,-1.7,6.61
0.0,55.0,1.0,0.0,0.0,0.0,0.0,6,6,0,0,19.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,12.7,3.7,-1.7,0.0
0.0,100.0,1.0,5.29,5.29,52.86,52.86,6,7,6,0,21.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,8.9,1.4,3.51,5.5
0.0,91.0,1.0,6.62,6.62,66.25,66.25,5,7,4,0,18.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,10.8,1.4,1.74,6.0
0.0,92.5,1.0,6.6,6.6,66.0,66.0,6,6,5,0,20.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,15.5,2.8,-4.06,0.0
0.0,62.5,1.0,6.0,6.0,60.0,60.0,6,10,1,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,10.8,1.4,1.74,5.5
0.0,100.0,1.0,6.65,6.65,66.53,66.53,7,8,7,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,7.27
0.0,91.0,1.0,6.25,6.25,62.5,62.5,5,8,4,0,20.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,10.8,1.4,1.74,6.12
0.0,93.57,1.0,5.83,5.83,58.33,58.33,7,7,6,0,18.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,16.2,0.3,-0.92,6.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,11.1,0.6,2.02,0.0
0.0,100.0,1.0,5.72,5.72,57.19,57.19,7,14,7,0,20.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,12.7,3.7,-1.7,5.71
0.0,94.38,1.0,6.43,6.43,64.29,64.29,8,12,7,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,12.7,3.7,-1.7,6.43
0.0,100.0,1.0,6.69,6.69,66.88,66.88,6,8,6,0,19.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,1.0,11.1,0.6,2.02,6.14
0.0,93.57,1.0,6.65,6.65,66.48,66.48,7,8,6,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,11.1,0.6,2.02,7.06
0.0,92.5,1.0,5.8,5.8,58.0,58.0,6,8,5,0,18.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,7.6,2.6,0.32,5.5
0.0,100.0,1.0,5.69,5.69,56.88,56.88,6,9,6,0,21.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,16.2,0.3,-0.92,6.64
