gender_code,attendance_percentage,assignment_completion,current_cgpa,previous_cgpa,average_internal_marks,average_total_marks,subjects_enrolled,subjects_evaluated,subjects_passed,subjects_credited,age_at_enrollment,debtor,tuition_fees_up_to_date,scholarship_holder,educational_special_needs,international,course_code,daytime_attendance,displaced,unemployment_rate,inflation_rate,gdp,dropout_target
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,10.8,1.4,1.74,1
1.0,100.0,1.0,6.92,7.0,69.17,69.17,12,12,12,0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,13.9,-0.3,0.79,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,10.8,1.4,1.74,1
0.0,96.25,1.0,6.46,6.71,64.57,64.57,12,18,11,0,20.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,96.25,1.0,6.33,6.17,63.33,63.33,12,15,11,0,45.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,13.9,-0.3,0.79,0
1.0,100.0,1.0,5.84,5.93,58.39,58.39,10,27,10,0,50.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,16.2,0.3,-0.92,0
0.0,100.0,1.0,6.91,6.65,69.11,69.11,15,17,15,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,0
1.0,55.0,1.0,0.0,0.0,0.0,0.0,10,10,0,0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,15.5,2.8,-4.06,1
0.0,100.0,1.0,7.0,6.94,70.04,70.04,12,15,12,0,21.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,16.2,0.3,-0.92,0
0.0,81.25,1.0,6.22,5.7,62.25,62.25,12,23,7,0,18.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,8.9,1.4,3.51,1
0.0,96.25,1.0,6.63,6.17,66.33,66.33,12,13,11,0,18.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,13.9,-0.3,0.79,0
0.0,94.38,1.0,6.61,6.61,66.07,66.07,16,16,14,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,12.7,3.7,-1.7,0
0.0,27.5,0.5,0.0,0.0,0.0,0.0,12,6,0,0,19.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,12.7,3.7,-1.7,1
